S.No,Course Code,Course Name,Course Category,Course Type,Credits,Lectures,Tutorial,Practical,Course Coordinators/Instructors
40,CSC006P1M,Design and Analysis of Algorithms,Departmental Core,THEORY / PRACTICAL,4,3,0,2,Course Coordinator: Sumit Kumar Pandey (IITJMU11046)
41,CSC022P5E,Network Security,Departmental Elective,THEORY / PRACTICAL,4,3,0,2,Course Coordinator: Gaurav Varshney (IITJMU11045)
42,CSC030U3M,Database Management Systems,Departmental Core,THEORY / PRACTICAL,4,3,0,2,Course Coordinator: Suman Banerjee (IITJMU11083)
43,CSC031U3M,Operating Systems,Departmental Core,THEORY / PRACTICAL,4,3,0,2,Course Coordinator: Manoj Singh Gaur (IITJMU10001)
44,CSC034U4E,Software Engineering,Departmental Elective,THEORY / PRACTICAL,3,2,0,2,
45,CSC041U4E,Cloud Computing Technologies,Departmental Elective,THEORY / PRACTICAL,3,2,0,2,Course Coordinator: Shaifu Gupta (IITJMU11088)
46,CSC043U4E,Network and System Security,Departmental Elective,THEORY / PRACTICAL,3,2,0,2,Course Coordinator: Gaurav Varshney (IITJMU11045)
47,CSC302U2M,Computer Architecture,Departmental Core,THEORY / PRACTICAL,4,3,0,2,Course Coordinator: Subhasis Bhattacharjee (IITJMU11059)
48,CSD001P5M,Linear Algebra,Departmental Core,THEORY,3,3,1,0,Course Coordinator: Tanmay Sarkar (IITJMU11019)
49,CSD002P5M,Abstract Algebra,Departmental Core,THEORY,3,3,1,0,Course Coordinator: Rajiv Kumar (IITJMU11079)
50,CSD018U2M,Discrete Mathematical Structures,Departmental Core,THEORY,3,3,1,0,Course Coordinator: Sumit Kumar Pandey (IITJMU11046)
51,CSD490,B.Tech Project,Departmental Core,PRACTICAL,6,0,0,12,Course Coordinator: Subhasis Bhattacharjee (IITJMU11059)
52,CSL003P1M,Probability & Statistics,Departmental Core,THEORY,3,3,0,0,Course Coordinator: Manmohan Vashisth (IITJMU11074)
53,CSL020U4E,Artificial Intelligence,Departmental Elective,THEORY,3,3,0,0,
54,CSL021U4E,Probability and Stochastic Process,Departmental Elective,THEORY,3,3,0,0,
55,CSL022U4E,Advanced Algorithms,Departmental Elective,THEORY,3,3,0,0,
56,CSL032U4E,Deep Learning,Departmental Elective,THEORY,3,3,0,0,Course Coordinator: Vinit Jakhetiya (IITJMU11024)
57,CSL036U4E,Computer Vision,Departmental Elective,THEORY,3,3,0,0,Course Coordinator: Harkeerat Kaur (IITJMU81023)
58,CSP007P1M,Software Tools,Departmental Core,PRACTICAL,1,0,0,2,Course Coordinator: Subhasis Bhattacharjee (IITJMU11059)
59,CSP032U4E,Deep Learning Lab,Departmental Elective,PRACTICAL,1,0,0,2,Course Coordinator: Vinit Jakhetiya (IITJMU11024)
60,CSP036U4E,Computer Vision Lab,Departmental Elective,PRACTICAL,1,0,0,2,Course Coordinator: Harkeerat Kaur (IITJMU81023)
61,CYL001P6E,Asymmetric Organocatalysis,Open Category,THEORY,3,3,0,0,Course Coordinator: Guru Brahamam Ramani (IITJMU11055)
,,,,,,,,,Instructor:Pankaj Chauhan (IITJMU11001)
62,CYL008P1M,Quantum Chemistry and Mathematics for Chemists,Departmental Core,THEORY,4,4,1,0,Course Coordinator: Shivnath Mazumder (IITJMU11018)
63,CYL009P1M,Physical Organic Chemistry and Stereochemistry,Departmental Core,THEORY,3,3,0,0,Course Coordinator: Pankaj Chauhan (IITJMU11001)
,,,,,,,,,Instructor:Guru Brahamam Ramani (IITJMU11055)
64,CYL010P1M,Coordination Chemistry,Departmental Core,THEORY,3,3,0,0,Course Coordinator: Jayaramulu Kolleboyina (IITJMU11061)
65,CYL011P1M,Spectroscopic Characterization of Inorganic and Organic Compounds,Departmental Core,THEORY,4,4,0,0,Course Coordinator: Anju Chadha (IITJMU40007)
,,,,,,,,,Instructor:Amlan Kumar Pal (IITJMU11065)
66,CYL723,Principles and Practice of NMR and Optical Spectroscopy,Open Category,THEORY,3,3,0,0,Course Coordinator: Amlan Kumar Pal (IITJMU11065)
67,CYP012P1M,Inorganic Chemistry Laboratory,Departmental Core,PRACTICAL,3,0,0,6,Course Coordinator: Subhas Samanta (IITJMU11005)
68,DIP001U1M,Product Assembly,Institute Core,PRACTICAL,2,0,0,4,Course Coordinator: Shiva S (IITJMU11027)
,,,,,,,,,Instructor:Vijay Kumar Pal (IITJMU11029)
69,DIP002U1M,Product Visualization,Institute Core,PRACTICAL,2,0,0,4,"Instructor:Rakesh Singhai (IITJMU20031), Instructor:Sahil Kalra (IITJMU11048), Instructor:Sameer Kumar Sarma Pachalla (IITJMU11047)"
70,DIP004U3M,Product Development - I,Institute Core,PRACTICAL,1,0,0,2,Instructor:Rajendra Kumar Varma (IITJMU11016)
71,EED001U2M,Network Analysis and Synthesis,Departmental Core,THEORY,3,3,1,0,Course Coordinator: Alok Kumar Saxena (IITJMU11026)
72,EED002U2M,Signals and Systems,Departmental Core,THEORY,3,3,1,0,Course Coordinator: Sudhakar Modem (IITJMU11039)
73,EED013U3M,Electrical Machines,Departmental Core,THEORY,3,3,1,0,Course Coordinator: Anup Shukla (IITJMU11002)
74,EED014U3M,Communication Systems,Departmental Core,THEORY,3,3,1,0,Course Coordinator: Ankur Bansal (IITJMU11064)
75,EEL001P1M,Signal Theory,Departmental Core,THEORY,3,3,0,0,Course Coordinator: Ravikant Saini (IITJMU11014)
76,EEL002P1M,Advance Digital Signal Processing,Departmental Core,THEORY,3,3,0,0,Course Coordinator: Badri Narayan Subudhi (IITJMU11010)
77,EEL003P1M,RF System,Departmental Core,THEORY,3,3,0,0,Course Coordinator: Kushmanda Saurav (IITJMU11004)
78,EEL004P4M,Digital Communications,Departmental Core,THEORY,3,3,0,0,Course Coordinator: Ajay Singh (IITJMU11021)
79,EEL033P2E,Advanced Engineering Electromagnetics,Departmental Elective,THEORY,3,3,0,0,Course Coordinator: Kushmanda Saurav (IITJMU11004)
80,EEL035P2E,Smart Grid Technology and its Application,Departmental Elective,THEORY,3,3,0,0,Course Coordinator: Anup Shukla (IITJMU11002)
81,EEL041P6G,Advanced VLSI Design,Departmental Core,THEORY,3,3,0,0,Course Coordinator: Ambika Prasad Shah (IITJMU11071)
82,EEL061P6G,Solid State Devices,Departmental Core,THEORY,3,3,0,0,Course Coordinator: Kankat Ghosh (IITJMU11044)
83,EEL062P6G,Introduction to VLSI Design,Departmental Elective,THEORY,3,3,0,0,Course Coordinator: Ambika Prasad Shah (IITJMU11071)
84,EEL068U3E,Digital Signal Processing,Departmental Elective,THEORY,3,3,0,0,Course Coordinator: Karan Nathwani (IITJMU11009)
85,EEL070U3E,High Frequency Systems (RF Systems),Departmental Elective,THEORY,3,3,0,0,Course Coordinator: Kushmanda Saurav (IITJMU11004)
86,EEP003P1M,RF System Lab,Departmental Practical,PRACTICAL,2,0,0,4,Course Coordinator: Kushmanda Saurav (IITJMU11004)
87,EEP004P4M,Digital Communications Lab,Departmental Practical,PRACTICAL,2,0,0,4,Course Coordinator: Ajay Singh (IITJMU11021)
88,EEP013U3M,Electrical Machines Laboratory,Departmental Practical,PRACTICAL,1,0,0,2,Course Coordinator: Anup Shukla (IITJMU11002)
89,EEP014U3M,Communication Systems Laboratory,Departmental Practical,PRACTICAL,1,0,0,2,Course Coordinator: Ankur Bansal (IITJMU11064)
90,EEY401U3M,BTP-I,Departmental Core,PROJECT,3,0,0,6,Course Coordinator: Kankat Ghosh (IITJMU11044)
91,EEZ111P2M,Dissertation-I,Dissertation,DISSERTATION,8,0,0,16,Course Coordinator: Badri Narayan Subudhi (IITJMU11010)
92,EFC001U1M,Computers and programming,Institute Core,THEORY / PRACTICAL,3,2,0,2,Course Coordinator: Yamuna Prasad (IITJMU11028)
93,EFD006U1M,Engineering Mechanics,Institute Core,THEORY,3,3,1,0,Course Coordinator: Arvind Kumar Rajput (IITJMU11032)
,,,,,,,,,Instructor:Anurag Misra (IITJMU20029)
94,EFD007U2M,Mechanics of Solids,Institute Core,THEORY,3,3,1,0,Course Coordinator: Durai Prabhakaran R T (IITJMU11035)
,,,,,,,,,Instructor:Surendra Beniwal (IITJMU11049)
